"MCAV-Dis"	"MCAV-Dis-AH"	"MCAV-AH"	"MCAV-N"	"OFAV-Dis"	"OFAV-Dis-AH"	"OFAV-AH"	"OFAV-N"	"CNAT-Dis"	"CNAT-Dis-AH"	"CNAT-AH"	"CNAT-N"	"OFRA-Dis"	"OFRA-Dis-AH"	"OFRA-AH"	"OFRA-N"	"Pathway"
"Cluster_19"	0.11212695225	0.02094924475	0.00526813425	0.02507912475	0.047544293	0.02751602025	0.035214368	0.0295205085	0.01842129825	0.00848371075	0.0106492185	0.0112898895	0.00669693075	0.0080343645	0.01894376825	0.0085855415	"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine), PWY-7206: pyrimidine deoxyribonucleotides dephosphorylation, PWY-2941: L-lysine biosynthesis II, PWY0-1299: arginine dependent acid resistance"
"Cluster_20"	0.03860237025	0.005664637	0.02183082525	0.08908600075	0.0465950335	0.02404872475	0.045178946	0.02004475425	0.014774803	0.005062401	0.025009336	0.02150615775	0.0065289155	0.0180194065	0.01519385025	0.0028483485	"PLPSAL-PWY: pyridoxal 5'-phosphate salvage I, PWY-5074: mevalonate degradation, PWY-7159: 3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent), PWY-7747: diphenyl ethers degradation"
"Cluster_21"	0.0295536922	0.0123117358	0.007183717	0.0117880774	0.0541501538	0.0277044224	0.0832606332	0.0300311584	0.0186194374	0.0086696142	0.0222717686	0.0229447914	0.0182232506	0.0194254794	0.0191475272	0.0113022336	"ASPARTATE-DEG1-PWY: L-aspartate degradation I, PWY0-1315: L-lactaldehyde degradation (anaerobic), PWY-6012-1: acyl carrier protein activation, ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine), PWY-5137: fatty acid &beta;-oxidation III (unsaturated, odd number)"
"Cluster_22"	0.145220088	0.027759158	0.026868459	0.026956857	0.064450243	0.030750492	0.024237406	0.031694043	0.021822936	0.011675285	0.004208862	0.025718102	0.020856459	0.022136021	0.022441885	0.029486581	"1CMET2-PWY: folate transformations III (E. coli)"
"Cluster_23"	0.025458117	0.009232748	0.029114717	0	0.047476075	0.036612456	0.043379565	0.008505689	0.027987864	0.017459504	0.023222076	0.009980317	0.185989821	0.006754431	0.028781664	0.031149544	"4AMINOBUTMETAB-PWY: superpathway of 4-aminobutanoate degradation"
"Cluster_24"	0.0391360523333333	0.016544875	0.00405252666666667	0.02008586	0.0414649716666667	0.0250374166666667	0.0443706686666667	0.004986817	0.015814593	0.00603798033333333	0.0814484863333333	0.0113562773333333	0.019195153	0.00809924933333333	0.0162631313333333	0.017967199	"ASPARTATESYN-PWY: L-aspartate biosynthesis, PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis, ANAPHENOXI-PWY: L-phenylalanine degradation II (anaerobic)"
"Cluster_25"	0.031101566	0.031275683	0.0179039453333333	0.015066402	0.0586524103333333	0.0303758026666667	0.0453197433333333	0.012154956	0.0214288826666667	0.011305565	0.025149185	0.0307078256666667	0.0149711973333333	0.0270128123333333	0.0220366543333333	0.027735304	"PWY-6317: D-galactose degradation I (Leloir pathway), PWY-6907: thiamine diphosphate biosynthesis III (Staphylococcus), NONMEVIPP-PWY: methylerythritol phosphate pathway I"
"Cluster_26"	0.0331495896666667	0.026202065	0.022192398	0.0252290326666667	0.039173307	0.0316362533333333	0.047706145	0.009898927	0.0227544766666667	0.0125492986666667	0.0275195113333333	0.021962106	0.00633200833333333	0.0184650353333333	0.0233998453333333	0.009037543	"METHIONINE-DEG1-PWY: L-methionine degradation I (to L-homocysteine), GLUTAMINEFUM-PWY: L-glutamine degradation II, HISTSYN-PWY: L-histidine biosynthesis"
"Cluster_27"	0.019684379	0.165689868	0.005328382	0.000189027	0.05358719	0.019571448	0.044340926	0.024445851	0.010066128	0.000644505	0.024176961	0.024964461	0.007084082	0.021399437	0.010351626	0.030478818	"PWY-7183: pyrimidine nucleobases salvage I"
"Cluster_28"	0.0364561355714286	0.0103319495714286	0.0156749571428571	0.028182671	0.0436915458571429	0.0255331884285714	0.0490426581428571	0.0285013857142857	0.0130073381428571	0.00754419957142857	0.0288470214285714	0.0165360884285714	0.0202381275714286	0.0108404351428571	0.0167993137142857	0.005202903	"PWY-6703: preQ0 biosynthesis, GLUTORN-PWY: L-ornithine biosynthesis I, PWY-6834: spermidine biosynthesis III, PWY-5276: sulfite oxidation I, PWY-5068: chlorophyll cycle, PWY66-389: phytol degradation, PWY5F9-12: biphenyl degradation"
"Cluster_29"	0.0391354965	0.0057910595	0.0161598441666667	0.0274638411666667	0.0469328658333333	0.0361027695	0.04035299	0.00869279566666667	0.0274518351666667	0.0169565773333333	0.0202158886666667	0.018274665	0.00455343616666667	0.0148610525	0.0282304321666667	0.0108790703333333	"PENTOSE-P-PWY: pentose phosphate pathway, PWY-6703: preQ biosynthesis, PWY0-1335: NADH to cytochrome bo oxidase electron transfer I, PWY-5027: phylloquinol biosynthesis, PWY-5101: L-isoleucine biosynthesis II, PWY-5918: superpathway of heme b biosynthesis from glutamate"
"Cluster_30"	0.0198862133333333	0.031098412	0.0180512676666667	0.0280499993333333	0.0573976023333333	0.0334961616666667	0.0423904483333333	0.0216584743333333	0.0247105106666667	0.01438454	0.0141220733333333	0.0284751153333333	0.00573584	0.024830635	0.025411357	0.0131553173333333	"GLUAMCAT-PWY: N-acetylglucosamine degradation I, PWY-5921: glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation, PWY0-1477: ethanolamine utilization"
"Cluster_31"	0.018863142	0.0095814705	0.0028646845	0.0146175075	0.0447508185	0.0221919475	0.0313938615	0.0233246845	0.008273674	0.0033627425	0.01131711	0.008265947	0.0930867125	0.006578863	0.013185725	0.000945709	"ASPARAGINE-BIOSYNTHESIS: L-asparagine biosynthesis I, P142-PWY: pyruvate fermentation to acetate I"
"Cluster_32"	0.018843307	0.027573268	0.017043254	0.0034050195	0.055639172	0.035766588	0.0516897545	0.0199108565	0.0270982785	0.016624854	0.031476287	0.0303678465	0.0211832345	0.0266805275	0.0278668475	0.0203152535	"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III, PWY-6131: glycerol degradation II"
"Cluster_33"	0.01968643	0.028588327	0.003788826	0.017758535	0.046425712	0.039438725	0.039095815	0.025541421	0.030960203	0.020248289	0.018967182	0.032448051	0.024208621	0.028713651	0.031838305	0.034405292	"PWY-5785: di-trans,poly-cis-undecaprenyl phosphate biosynthesis"
"Cluster_34"	0.0357754755	0.0324449285	0.0182865995	0.031954529	0.0462576725	0.0319856985	0.027977296	0.0162898145	0.0231219825	0.012894109	0.00792356	0.0181896255	0.0082271185	0.0125863895	0.0237777745	0.0272059505	"PWY0-1021: L-alanine biosynthesis III, PWY-4381: fatty acid biosynthesis initiation (type II)"
"Cluster_35"	0.034503126	0.02688207975	0.0123013015	0.006467448	0.03699208225	0.02164666675	0.0470128465	0.021592884	0.01224859975	0.00280545725	0.026830883	0.0177003315	0.0249734025	0.014299718	0.012595998	0.01394281275	"PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic), PWY-6952: glycerophosphodiester degradation, PWY0-522: lipoate salvage I, PWY0-1507: biotin biosynthesis from 8-amino-7-oxononanoate I"
"Cluster_36"	0.032834975	0.0355749545714286	0.0200810011428571	0.0224966815714286	0.0512100547142857	0.0334349245714286	0.0285599935714286	0.00532716214285714	0.0246461082857143	0.0143241145714286	0.004587044	0.00680710757142857	0.0140776942857143	0.00443470614285714	0.0253451282857143	0.00917070871428571	"PWY-5667: CDP-diacylglycerol biosynthesis I, PWY-6700: queuosine biosynthesis I (de novo), PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I, PWY-6839: 2-aminoethylphosphonate biosynthesis, PROSYN-PWY: L-proline biosynthesis I (from L-glutamate), CYSTSYN-PWY: L-cysteine biosynthesis I, GLYCINE-SYN2-PWY: glycine biosynthesis II"
"Cluster_37"	0.0129406846666667	0.020736335	0.0105456763333333	0.0207960326666667	0.051418085	0.0331593353333333	0.0480971606666667	0.00943129266666667	0.0243562763333333	0.0140521803333333	0.0279078933333333	0.012705579	0.00892149466666667	0.009418012	0.0250470753333333	0.0306316736666667	"PWY-5087: L-glutamate degradation VI (to pyruvate), PWY-5084: 2-oxoglutarate decarboxylation to succinyl-CoA, PWY-4081: glutathione-peroxide redox reactions"
"Cluster_38"	0.0387964654285714	0.00804775771428571	0.021470607	0.006633096	0.0499570028571429	0.0371963648571429	0.0448601028571429	0.0209760478571429	0.0286019508571429	0.0180356684285714	0.0246926405714286	0.0136632974285714	0.0100446788571429	0.00833601885714286	0.0294131674285714	0.008442871	"PWY-5120: geranylgeranyl diphosphate biosynthesis, CYANCAT-PWY: cyanate degradation, PWY-8073: lipid IVA biosynthesis (P. putida), THREONINE-DEG2-PWY: L-threonine degradation II, PWY-7180: 2-deoxy-&alpha;-D-ribose 1-phosphate degradation, PWY0-823: L-arginine degradation III (arginine decarboxylase/agmatinase pathway), HSERMETANA-PWY: L-methionine biosynthesis III"
"Cluster_39"	0.0196359246	0.030009267	0.0057489118	0.0161655808	0.0420143578	0.0279621794	0.0396126186	0.0254391836	0.018890516	0.008923953	0.0194805048	0.0137158522	0.0295603104	0.0104054202	0.0194262942	0.02113693	"SERDEG-PWY: L-serine degradation, PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing), PWY0-1314: fructose degradation, PWY-5344: L-homocysteine biosynthesis, PWY-7208: superpathway of pyrimidine nucleobases salvage"
"Cluster_40"	0.03724326525	0.0037162375	0.0060315315	0.013024272	0.0522435555	0.02996143575	0.05073670025	0.01368287	0.02099309975	0.01089669375	0.03052965225	0.030122476	0.02428096025	0.0264407105	0.0215885125	0.00491561375	"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II, PWY-5025: indole-3-acetate biosynthesis IV (bacteria), PWY-8058: 2-deoxy-D-ribose degradation II, GLYOXDEG-PWY: glycolate and glyoxylate degradation II"
"Cluster_41"	0.014531401	0.032369538	0.0112359825	0.03152650725	0.05604658525	0.03078971575	0.03992915925	0.00960065825	0.02146191525	0.013536558	0.01979491275	0.00980866225	0.02580742675	0.0079143525	0.0224843055	0.00208649975	"PWY-7343: UDP-&alpha;-D-glucose biosynthesis, PWY-7197: pyrimidine deoxyribonucleotide phosphorylation, PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I, PWY-7247: &beta;-D-glucuronide and D-glucuronate degradation"
"Cluster_42"	0.0341497735	0.0292563505	0.021518374	0.00850781316666667	0.0543842446666667	0.0368807033333333	0.0357622011666667	0.0192212673333333	0.0282699746666667	0.0177241931666667	0.015656024	0.00712078783333333	0.0204110758333333	0.00427361733333333	0.0290717758333333	0.0108000355	"PWY-8148: NADP biosynthesis, PWY-6897: thiamine diphosphate salvage II, PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate), DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis, GLUTDEG-PWY: L-glutamate degradation II, UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I"
"Cluster_43"	0.0341858214	0.0037204964	0.0110170764	0.0133025536	0.0460179304	0.0350575158	0.03938162	0.0277728976	0.0263525598	0.0159251862	0.0192510624	0.0057491878	0.0250181198	0.003317416	0.0270999788	0.0168085668	"PWY-7806: glyphosate degradation II, PWY-6502: 8-oxo-(d)GTP detoxification I, PWY-5123: trans, trans-farnesyl diphosphate biosynthesis, PWY-7967: 5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP, PWY-7224: purine deoxyribonucleosides salvage"
"Cluster_44"	0.0327573745	0.016826437	0.017249269	0.0079824955	0.04916009175	0.03851277	0.028679589	0.02379080725	0.02998639125	0.01933461425	0.008195715	0.0240967455	0.02349241975	0.02055136125	0.030836874	0.00924248825	"PWY-8088: dipicolinate biosynthesis, PWY-7279: aerobic respiration II (cytochrome c) (yeast), KDOSYN-PWY: Kdo transfer to lipid IVA I (E. coli), PWY-7801: N-end rule pathway I (prokaryotic)"
"Cluster_45"	0.0394880214	0.0077924194	0.0191849344	0.0087400576	0.0453704574	0.0372718516	0.0276411734	0.0079666886	0.0286813388	0.0181101538	0.007589701	0.0115770186	0.0216189208	0.0084944824	0.0294948068	0.0274220194	"PROPIONMET-PWY: propanoyl CoA degradation I, ETOH-ACETYLCOA-ANA-PWY: ethanol degradation I, PWY0-1544: proline to cytochrome bo oxidase electron transfer, PWY-8043: ophthalmate biosynthesis, PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)"
"Cluster_46"	0.0348388942	0.0299533492	0.0071408706	0.012672075	0.0576824322	0.034230441	0.0354531172	0.008468989	0.0254827394	0.0151090804	0.0153490222	0.0200643224	0.0179036982	0.0132995112	0.026205488	0.0065240318	"PWY-7344: UDP-&alpha;-D-galactose biosynthesis, PWY-7242: D-fructuronate degradation, PWY-7928: nickel cofactor biosynthesis, CITRULLINE-DEG-PWY: L-citrulline degradation, PWY-5143: long-chain fatty acid activation"
"Cluster_47"	0.0365323303333333	0.0302589001666667	0.013721478	0.010914624	0.0486116586666667	0.0353193583333333	0.024619667	0.0109600393333333	0.0266279346666667	0.0161835558333333	0.00458854816666667	0.0247045276666667	0.00935163083333333	0.0211453876666667	0.0273831636666667	0.0140894808333333	"PWY0-662: PRPP biosynthesis, PWY-6823: molybdopterin biosynthesis, PWY0-381: glycerol and glycerophosphodiester degradation, PWY-5046: 2-oxoisovalerate decarboxylation to isobutanoyl-CoA, PWY-2161: folate polyglutamylation, ORN-AMINOPENTANOATE-CAT-PWY: L-ornithine degradation I (L-proline biosynthesis)"
"Cluster_48"	0.0399958236	0.0048675646	0.0195516288	0.0190014036	0.0479618112	0.0208043046	0.0388770086	0.0234459394	0.0113627018	0.0023395546	0.0187498498	0.0101288528	0.0023482334	0.0070177446	0.0116849738	0.0207526966	"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation, PWY0-1297: superpathway of purine deoxyribonucleosides degradation, PWY-6896: thiamine diphosphate salvage I, PWY-5747: 2-methylcitrate cycle II, PWY-3001: superpathway of L-isoleucine biosynthesis I"
"Cluster_49"	0.035745298	0.0109468082	0.0073462308	0.022374639	0.0616084124	0.0371963418	0.022848834	0.0257532114	0.0286019266	0.0180356458	0.0028296438	0.0088220122	0.0137263464	0.0062429806	0.0294131426	0.0176370774	"PWY-6708: ubiquinol-8 biosynthesis (prokaryotic), PWY-6892: thiazole component of thiamine diphosphate biosynthesis I, PWY-6019: pseudouridine degradation, PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II, PWY-5367: petroselinate biosynthesis"
"Cluster_50"	0.018644897	0.022964342	0.021791416	0.0108509065	0.0534467295	0.029313195	0.0374380375	0.0248487895	0.0086478115	0.0102570505	0.0173205715	0.0300882705	0.031735481	0.0264072785	0.0208874325	0.009785085	"PWY-7969: 5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP, ILEUDEG-PWY: L-isoleucine degradation I"
"Cluster_51"	0.0381180235	0.02871640225	0.00762225	0.0244051425	0.04764023175	0.0184698215	0.043684374	0.00240017475	0.00890756625	0.0024120915	0.02352483175	0.023116302	0.02120741275	0.01959310775	0.009160205	0.008310038	"GLYCLEAV-PWY: glycine cleavage, PWY-7250: [2Fe-2S] iron-sulfur cluster biosynthesis, PWY-5481: pyruvate fermentation to (S)-lactate, PWY-3841: folate transformations II (plants)"
"Cluster_52"	0.027660031	0.005053066	0.017453333	0.000303657	0.057037033	0.025819742	0.034032587	0.006524212	0.166373518	0.00680993	0.013938061	0.002989688	0.02151644	0	0.017109225	0	"ACETATEUTIL-PWY: superpathway of acetate utilization and formation"
"Cluster_53"	0.0385096335	0.020859384	0.02161564675	0.015840346	0.0456909215	0.023590306	0.03066731575	0.00191750525	0.01429269175	0.00441145925	0.00631262275	0.01903630075	0.028060463	0.01560545	0.01469806525	0.0026658355	"HOMOSERSYN-PWY: L-homoserine biosynthesis, TRESYN-PWY: trehalose biosynthesis I, PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I, PWY0-1301: melibiose degradation"
"Cluster_54"	0.019741234	0.015630819	0.003895984	0.00883152	0.0548966895	0.0255087635	0.0448146315	0.0292525705	0.016310301	0.0065030755	0.0246474755	0.0269055335	0.0210572595	0.0232965775	0.016772898	0.0335132555	"ARO-PWY: chorismate biosynthesis I, PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation"
"Cluster_55"	0.0333096651428571	0.0262458547142857	0.0150939432857143	0.0100600175714286	0.0451370355714286	0.0367541765714286	0.0482011512857143	0.00844679242857143	0.028136909	0.0175993445714286	0.0280111831428571	0.005738642	0.011689718	0.00529611071428571	0.0289349357142857	0.00820569685714286	"PWY-7185: UTP and CTP dephosphorylation I, PWY-4984: urea cycle, VALSYN-PWY: L-valine biosynthesis, PYRUVDEHYD-PWY: pyruvate decarboxylation to acetyl CoA I, FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage, PWY-5964: guanylyl molybdenum cofactor biosynthesis, P101-PWY: ectoine biosynthesis"
"Cluster_56"	0.039636108	0.0063732485	0.0215051285	0.021965427	0.0484756105	0.02968262	0.031616414	0.026951824	0.0206998735	0.0106215755	0.011538164	0.0108064485	0.0317060395	0.007561865	0.0212869695	0.028327108	"PWY-8101: arsenate detoxification III (thioredoxin), PWY-5704: urea degradation II"
"Cluster_57"	0.036957702	0.035990893	0.022355981	0.026061039	0.057958787	0.037962573	0.02820683	0.009349509	0.029407758	0.018791714	0.008151548	0.015212165	0.021418374	0.011867866	0	0.033211047	"PWY-8171: molybdenum cofactor biosynthesis"
"Cluster_58"	0.040711332	0.0225995486666667	0.0233127543333333	0.0125966403333333	0.0465655236666667	0.0232664273333333	0.0412111993333333	0.0226010993333333	0.0139520743333333	0.004290479	0.021068317	0.0156271103333333	0.027840856	0.0122734203333333	0.014347787	0.001472201	"PWY0-1568: NADH to cytochrome bd oxidase electron transfer II, PWY-6123: inosine-5'-phosphate biosynthesis I, PWY-6932: selenate reduction"
"Cluster_59"	0.0220140716666667	0.004997055	0.0265208733333333	0.0283754386666667	0.043673335	0.0213179853333333	0.051408827	0.0240576816666667	0.0119029313333333	0.00358743366666667	0.0311972513333333	0.00821507033333333	0.0297576446666667	0.006149484	0.0122405253333333	0.01233175	"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation, NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside), HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)"
"Cluster_60"	0.021591785	0.0122980278333333	0.00306703066666667	0.0223467711666667	0.0457162458333333	0.0366443991666667	0.0400835898333333	0.00773237316666667	0.0280214576666667	0.0148458966666667	0.0199483033333333	0.0318183408333333	0.0104692903333333	0.0280981923333333	0.02881621	0.0132965846666667	"PWY-6535: 4-aminobutanoate degradation I, PWY-5148: acyl-CoA hydrolysis, PWYQT-4429: CO2 fixation into oxaloacetate (anaplerotic), HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic), TRPSYN-PWY: L-tryptophan biosynthesis, PWY-7194: pyrimidine nucleobases salvage II"
"Cluster_61"	0.03523462925	0.015131281	0.0098690685	0.014003862	0.05641506825	0.029147415	0.024018344	0.01272147125	0.0201370085	0.0100934695	0.003991276	0.02872342125	0.0146374085	0.02507332075	0.02070814	0.02662004825	"PWY-5189: tetrapyrrole biosynthesis II (from glycine), PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage, PWY-5844: menaquinol-9 biosynthesis, P483-PWY: phosphonoacetate degradation"
"Cluster_62"	0.0301447243333333	0.0222852833333333	0.000863402	0.020219733	0.051411774	0.038392477	0.0237323653333333	0.024699835	0.0298598813333333	0.0192159166666667	0.00370722333333333	0.00682090366666667	0.0303039063333333	0.004237191	0.0307067756666667	0.0175092043333333	"PWY-1722: formate assimilation into 5,10-methylenetetrahydrofolate, PWY-1881: formate oxidation to CO2, PWY-7942: 5-oxo-L-proline metabolism"
"Cluster_63"	0.02821097875	0.03264958	0.024200843	0.009978201	0.05755898875	0.025832197	0.040414238	0.00948091325	0.015469311	0.0062489045	0.022249019	0.0054438095	0.00837456475	0.00431492475	0.01408300975	0.02400819725	"TYRSYN: L-tyrosine biosynthesis I, PWY-6613: tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate, PWY0-1584: nitrate reduction X (dissimilatory, periplasmic), PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)"
"Cluster_64"	0.027565863	0.0226359635	0.023343088	0.004090003	0.0462973945	0.027959727	0.0463968825	0.0184330055	0.0060752555	0.008921533	0.0262190685	0.019478941	0.0061793165	0.0160380715	0.0194236425	0.023935108	"PWY-2301: myo-inositol biosynthesis, PWY-7377: cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)"
"Cluster_65"	0.033079202	0.0104907565	0.0028306455	0.0259410875	0.03435053	0.036654035	0.0444135585	0.019824734	0.0280315915	0.0175005315	0.024249104	0	0.013097338	0.0141094145	0.028826632	0.028190689	"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis, PWY-5480: pyruvate fermentation to ethanol I"
"Cluster_66"	0.035076815	0.02243603125	0.006420212	0.0105887615	0.052483497	0.02596556825	0.0274593035	0.02277652525	0.01679071425	0.006953822	0.00285459275	0.021331303	0.004592941	0.017848509	0.01464989425	0.0235779855	"PWY-6612: superpathway of tetrahydrofolate biosynthesis, GLYOXYLATE-BYPASS: glyoxylate cycle, PWY-7971: adenosylcobinamide-GDP salvage from cobinamide I, BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis"
"Cluster_67"	0.010711794	0.008778899	0.004039277	0.0126732285	0.0428509665	0.0237647835	0.0356621055	0.030188655	0.0144761865	0.0056790585	0.015556603	0.0330645655	0.0219603275	0.0293162115	0.014886764	0.0110618995	"P184-PWY: protocatechuate degradation I (meta-cleavage pathway), PWY-5097: L-lysine biosynthesis VI"
