Pathway,MCAV-Dis,MCAV-Dis-AH,MCAV-AH,MCAV-N,OFAV-Dis,OFAV-Dis-AH,OFAV-AH,OFAV-N,CNAT-Dis,CNAT-Dis-AH,CNAT-AH,CNAT-N,OFRA-Dis,OFRA-Dis-AH,OFRA-AH,OFRA-N
PWY1ZNC-1: assimilatory sulfate reduction IV,0.128043104,0.018916134,0.045115929,0.038856496,0.139800844,0.092034768,0.055166803,0.047094443,0.148053746,0.066864738,0.051837726,0.067297415,0.068903437,0.10195449,0.066432801,0.06695586
SO4ASSIM-PWY: assimilatory sulfate reduction I,0.046242523,0.03559191,0.004395152,0.10032575,0.059174433,0.1720012,0.043478258,0.031464713,0.016829057,0.151052631,0.023320104,0.025265179,0.032351658,0.021693349,0.017306368,0.030560462
PWY-7111: pyruvate fermentation to isobutanol (engineered),0.09848639,0.04503034,0.007597524,0.0261208,0.091692114,0.07944551,0.055525609,0.019577255,0.082494266,0.061292956,0.018513213,0.012470472,0.004641257,0.04791579,0.000418849,0.014828975
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I,0.024556715,0.043946474,0.034713453,0.044977295,0.058108729,0.041480278,0.070692412,0.015136717,0.045559479,0.016957694,0.050350939,0.034826943,0.04426218,0.031038701,0.04685165,0.032126885
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),0.0382376,0.013367964,0.016307841,0.017624154,0.062451237,0.146789167,0.035154891,0.020804601,0.016184785,0.126174976,0.015052805,0.028232126,0.029401253,0.024593145,0.016643823,0.017785298
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,0.040736667,0.03713593,0.026799515,0.030205758,0.054053059,0.031894751,0.050345729,0.007861916,0.023026334,0.012804368,0.030141315,0.006794042,0.025689481,0.003640272,0.023679413,0.21945991
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),0.327343579,0.018766461,0,0.015125566,0.047101641,0.022630318,0.032919884,0.028541763,0.013283089,0.003662806,0.012832853,0.012388103,0.005171127,0.009107722,0.013659828,0.011024115
PLPSAL-PWY: pyridoxal 5'-phosphate salvage I,0.041431486,0.008933055,0.029329994,0.259882749,0.030762399,0.025238915,0.046842007,0.02258963,0.016026505,0.006236806,0.026661194,0.014840317,0.010079471,0.011504434,0.016481054,0.002163208
ASPARTATE-DEG1-PWY: L-aspartate degradation I,0.034420245,0.0143176,0.010139235,0.014841732,0.054272297,0.024118395,0.246876781,0.030943066,0.014848074,0.005131147,0.02253485,0.019252566,0.011308189,0.015816821,0.015269199,0.012006956
1CMET2-PWY: folate transformations III (E. coli),0.145220088,0.027759158,0.026868459,0.026956857,0.064450243,0.030750492,0.024237406,0.031694043,0.021822936,0.011675285,0.004208862,0.025718102,0.020856459,0.022136021,0.022441885,0.029486581
4AMINOBUTMETAB-PWY: superpathway of 4-aminobutanoate degradation,0.025458117,0.009232748,0.029114717,0,0.047476075,0.036612456,0.043379565,0.008505689,0.027987864,0.017459504,0.023222076,0.009980317,0.185989821,0.006754431,0.028781664,0.031149544
ASPARTATESYN-PWY: L-aspartate biosynthesis,0.044867911,0.017762493,0.009537971,0.018075658,0.032538393,0.030050117,0.039210063,0.000916403,0.021086364,0.010984199,0.190806609,0.016991692,0.018105315,0.013607117,0.021684422,0.015136399
PWY-6317: D-galactose degradation I (Leloir pathway),0.036876911,0.034447432,0.018828922,0.015659236,0.067591349,0.033711816,0.046923167,0.022288557,0.024937311,0.014597334,0.026741808,0.03022309,0.018666714,0.026539048,0.02564459,0.030434509
METHIONINE-DEG1-PWY: L-methionine degradation I (to L-homocysteine),0.036492963,0.030968627,0.02757678,0.02994361,0.043446742,0.038709291,0.050093931,0.025881446,0.030193069,0.019528529,0.029891213,0.026344481,0.003337321,0.022748223,0.031049413,0.019245337
PWY-7183: pyrimidine nucleobases salvage I,0.019684379,0.165689868,0.005328382,0.000189027,0.05358719,0.019571448,0.044340926,0.024445851,0.010066128,0.000644505,0.024176961,0.024964461,0.007084082,0.021399437,0.010351626,0.030478818
PWY-6703: preQ0 biosynthesis,0.040215937,0.025214534,0.018927434,0.028732645,0.040842704,0.031124994,0.053775472,0.029178048,0.022216794,0.01204482,0.033547954,0.027573885,0.026181019,0.023949802,0.022846913,0.011421984
PENTOSE-P-PWY: pentose phosphate pathway,0.045047013,0.00087149,0.014703219,0.027038172,0.056664321,0.040892237,0.050690396,0.01159806,0.032488836,0.021682524,0.03048366,0.027537841,0.011792141,0.023914574,0.033410294,0.017418579
GLUAMCAT-PWY: N-acetylglucosamine degradation I,0.023484129,0.035517226,0.027517277,0.027879051,0.039120223,0.040193502,0.044750171,0.025280025,0.031753989,0.020993056,0.024583449,0.028659876,0.002648205,0.025011214,0.032654604,0.015816044
ASPARAGINE-BIOSYNTHESIS: L-asparagine biosynthesis I,0.018852837,0.011546722,0.005729369,0.017859513,0.050956881,0.025734162,0.040114438,0.028159283,0.016547348,0.006725485,0.019978943,0.016531894,0.154808645,0.013157726,0.017016669,0.000995187
GLUTORN-PWY: L-ornithine biosynthesis I,0.045080898,0.012942836,0.019211462,0.029435256,0.052418401,0.034802353,0.049080704,0.030912339,0.02608421,0.015673408,0.028884811,0.023533802,0.024168527,0.020001159,0.026824017,0.005213015
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III,0.016670717,0.026324837,0.024604868,0.004553127,0.06079415,0.036686593,0.049747688,0.022835215,0.028065832,0.017532657,0.029547303,0.030968709,0.016215531,0.02726779,0.028861843,0.022817055
"PWY-5785: di-trans,poly-cis-undecaprenyl phosphate biosynthesis",0.01968643,0.028588327,0.003788826,0.017758535,0.046425712,0.039438725,0.039095815,0.025541421,0.030960203,0.020248289,0.018967182,0.032448051,0.024208621,0.028713651,0.031838305,0.034405292
PWY0-1021: L-alanine biosynthesis III,0.034709944,0.034313878,0.024516596,0.03195204,0.03730473,0.038581016,0.031120457,0.029343418,0.030058165,0.019401955,0.011045548,0.028825182,0.00135096,0.025172779,0.030910683,0.033219978
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic),0.037718824,0.037390108,0.022950445,0.012441982,0.040740079,0.030290941,0.052484516,0.029010558,0.021339635,0.011221829,0.032265694,0.023652301,0.022699907,0.020116976,0.021944876,0.025024252
PWY-5667: CDP-diacylglycerol biosynthesis I,0.046782601,0.023897023,0.027357126,0.034353388,0.063676708,0.039156115,0.03229349,0.007072219,0.030662986,0.019969427,0.012210679,0.015568027,0.020906349,0.012215674,0.031532659,0.022442028
PWY-5087: L-glutamate degradation VI (to pyruvate),0.019443772,0.031637819,0.020606284,0.024716836,0.065457636,0.036879302,0.052651339,0.009260103,0.028268502,0.017722811,0.032431394,0.020852268,0.000649657,0.017380316,0.029070261,0.029940222
PWY-5120: geranylgeranyl diphosphate biosynthesis,0.027603625,0.018924927,0.025947987,0.003354949,0.062268424,0.038582752,0.051342992,0.023955639,0.030059991,0.019403669,0.03113186,0.019598666,0.016615129,0.016155087,0.030912561,0.016486224
SERDEG-PWY: L-serine degradation,0.024774217,0.030914422,0,0.024659487,0.049610104,0.031136352,0.048450952,0.031448139,0.022228739,0.012056028,0.028259301,0.025231846,0.032788388,0.021660771,0.022859197,0.025931276
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II,0.037602846,0.00641688,0.000842268,0.013964704,0.056733863,0.036910623,0.050692102,0.021587112,0.028301441,0.017753716,0.030485354,0.030055944,0.029172467,0.026375684,0.029104135,0.014996928
PWY-7343: UDP-&alpha;-D-glucose biosynthesis,0.019258366,0.032727294,0.002498474,0.033166955,0.068340016,0.03537081,0.052218987,0.006228669,0.026682045,0.016234325,0.032001954,0.021810471,0.0310227,0.018316832,0.027438809,0.00699746
PWY-6703: preQ biosynthesis,0.041003393,0.011800964,0.00672031,0.032281344,0.051726401,0.039737367,0.043579716,0.010575927,0.031274279,0.02054297,0.023420879,0.027411965,0.005915764,0.023791547,0.032161289,0.025905267
PWY-8148: NADP biosynthesis,0.036238839,0.032564091,0.02312555,0.013755716,0.058852073,0.041502866,0.040262276,0.019313053,0.033131024,0.022285054,0.020125786,0.013856917,0.024859324,0.010543292,0.034070696,0
PWY-7806: glyphosate degradation II,0.039956551,0.000375608,0.022173725,0.007536195,0.063099811,0.037109239,0.048388017,0.029107224,0.028510322,0.017949698,0.028196791,0.013645289,0.032756348,0.010336454,0.02931894,0.014817909
PWY-8088: dipicolinate biosynthesis,0.027481354,0.021932754,0.017792388,0.007874388,0.05369581,0.040459714,0.040036322,0.027972319,0.032033959,0.021255736,0.019901354,0.023452176,0.024586601,0.01992138,0.032942515,0.010431444
PWY-6907: thiamine diphosphate biosynthesis III (Staphylococcus),0.03666527,0.027274653,0.020960238,0.011234002,0.065670555,0.029999058,0.04704992,0.007395163,0.021032667,0.010933817,0.026867706,0.030015192,0.007445532,0.026335855,0.021629201,0.029129772
PWY-6131: glycerol degradation II,0.021015897,0.028821699,0.00948164,0.002256912,0.050484194,0.034846583,0.053631821,0.016986498,0.026130725,0.015717051,0.033405271,0.029766984,0.026150938,0.026093265,0.026871852,0.017813452
PROPIONMET-PWY: propanoyl CoA degradation I,0.047633752,0.018794107,0.029109218,0.003780166,0.043821157,0.038266566,0.037135983,0.00873914,0.029727463,0.019091675,0.017020552,0.021036436,0.021980569,0.017560316,0.030570601,0.032796788
PWY-7344: UDP-&alpha;-D-galactose biosynthesis,0.027924793,0.030197457,0.014456926,0.015872314,0.058593496,0.037159418,0.040178015,0.012816214,0.028563094,0.017999211,0.020042092,0.02600341,0.01782366,0.022414872,0.029373209,0.016968084
PWY0-662: PRPP biosynthesis,0.04352677,0.032691529,0.018366386,0.018549066,0.068366089,0.036009279,0.026306863,0,0.027353512,0.016864326,0.006264379,0.029867497,0.025252519,0.026191502,0.02812932,0.012408586
PWY-6823: molybdopterin biosynthesis,0.028255529,0.035880447,0.021862066,0.007733297,0.053887116,0.03850451,0.026325777,0.022785309,0.029977704,0.019326464,0.006283165,0.0285087,0.017516529,0.02486346,0.03082794,0.01944811
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,0.038767112,0.003268298,0.021562209,0.030596372,0.066841043,0.027330504,0.053037953,0.028310296,0.018226194,0.008300655,0.032815403,0.013629137,0.007872804,0.010320668,0.01874313,0.031433575
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic),0.034312117,0.008745262,0.00233636,0.030400083,0.058909443,0.04187965,0.027106005,0.0297185,0.033527282,0.022656841,0.007058137,0.023199651,0.008496544,0.01967457,0.034478192,0.02815094
PWY-7969: 5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,0.019492403,0.02841402,0.024016592,0.021701813,0.055586729,0.032180726,0.037017618,0.026888121,0,0.013086551,0.016902984,0.032842905,0.030694272,0.029099567,0.023988699,0.016071924
PWY0-1315: L-lactaldehyde degradation (anaerobic),0.03282472,0.004966051,0.00466889,0.018124229,0.050701193,0.032689105,0.044764053,0.031083531,0.023861743,0.013588187,0.024597238,0.028946969,0.0283695,0.025291809,0.024538517,0.01739629
PWY-7279: aerobic respiration II (cytochrome c) (yeast),0.04102747,0.0100315,0.025341447,0.010600258,0.040233969,0.041542106,0.023403667,0.029646957,0.033172292,0.022323773,0.003380739,0.028616836,0.026291647,0.024969148,0.034113134,0.011091766
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation,0.021089174,0.030935277,0.019710313,0.033672846,0.062851,0.039616258,0.046157464,0.016117872,0.031146911,0.020423467,0.025981262,0.000382726,0.023846918,0,0.032030308,0.001348539
GLYCLEAV-PWY: glycine cleavage,0.035901624,0.032197401,0.013232782,0.028221412,0.042122998,0.028696329,0.049660661,0.007728641,0.019662609,0.009648366,0.029460861,0.023614827,0.02908242,0.02008035,0.020220285,0.014535533
ACETATEUTIL-PWY: superpathway of acetate utilization and formation,0.027660031,0.005053066,0.017453333,0.000303657,0.057037033,0.025819742,0.034032587,0.006524212,0.166373518,0.00680993,0.013938061,0.002989688,0.02151644,0,0.017109225,0
PWY-6897: thiamine diphosphate salvage II,0.031454375,0.035826449,0.025534747,0.009621012,0.057372204,0.039093625,0.034387013,0.022250597,0.030597266,0.019907765,0.014290099,0.002892031,0.028623466,0,0.031465074,0.018907087
PWY-5025: indole-3-acetate biosynthesis IV (bacteria),0.045194009,0.005606554,0.013817744,0.02276676,0.057584568,0.033361222,0.050230598,0.002796336,0.024568596,0.014251389,0.030026959,0.030132273,0.016444853,0.026450286,0.025265418,0.003027102
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,0.017778064,0.036542814,0.022735143,0.02938605,0.051498331,0.036641781,0.037575254,0.016056092,0.028018705,0.01748844,0.017456864,0.01671898,0.03002871,0.013340578,0.028813379,0
HOMOSERSYN-PWY: L-homoserine biosynthesis,0.046164771,0.025903084,0.028278694,0.026631627,0.039209466,0.033123669,0.035117385,0.002037309,0.024318766,0.014016987,0.015015551,0.029553992,0.029802342,0.025885093,0.025008502,0
ARO-PWY: chorismate biosynthesis I,0.021564098,0.023993875,0.003592454,0.014171842,0.049474468,0.026039585,0.048973293,0.028365644,0.016868557,0.007026857,0.028778124,0.027509867,0.028728537,0.023887233,0.017346987,0.033372793
CYANCAT-PWY: cyanate degradation,0.045886842,0,0.027917998,0.018778173,0.062265026,0.039719733,0.04674149,0.019046365,0.031255734,0.02052557,0.026561355,0.011373744,0.008734011,0.008116321,0.032142218,0
PWY-5921: glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation,0.020803238,0.03250851,0.018324762,0.034522034,0.064947254,0.030062197,0.044517803,0.016766357,0.021099069,0.010996119,0,0.032711409,0.008639019,0.028971048,0.021697487,0.010582843
PWY-7185: UTP and CTP dephosphorylation I,0.029994084,0.03521238,0.026040573,0,0.06714905,0.039475803,0.053614718,0.013334998,0.030999197,0.020284875,0.033388283,0.005820765,0.004122116,0.002689023,0.031878405,0.001796534
PWY-6834: spermidine biosynthesis III,0.037650199,0.016539051,0.024558413,0.021849382,0.030541579,0.028626649,0.053154279,0.030760926,0.019589327,0.009579609,0.032930946,0.020743197,0.017385726,0.017273714,0.020144925,0.014016994
PWY-7242: D-fructuronate degradation,0.027711822,0.03498343,0.010800231,0.025800775,0.062656659,0.036095663,0.032283471,0.00266839,0.027444362,0.016949565,0.012200728,0.026085046,0.021655603,0.02249466,0.028222746,0.00668689
PWY-5074: mevalonate degradation,0.038900712,0.011663172,0.022484078,0.032695133,0.063207303,0.028864518,0.045109059,0.029037886,0.019839491,0.009814324,0.02493992,0.022954641,0.001873777,0.019435106,0.020402184,0.002968164
PWY-8101: arsenate detoxification III (thioredoxin),0.035404915,0.012615793,0.017048452,0.031034844,0.035081396,0.034471564,0.032770402,0.027397197,0.025736324,0.015347005,0.012684378,0.014144109,0.030462192,0.010823984,0.026466265,0.032243536
PWY0-1335: NADH to cytochrome bo oxidase electron transfer I,0.039301402,0.01814359,0.020288041,0.02842612,0.043042197,0.038998471,0.033331482,0.017810437,0.030497195,0.019813874,0.013241679,0.025515438,3.03365E-05,0.021937944,0.031362165,0.011737684
PWY-8171: molybdenum cofactor biosynthesis,0.036957702,0.035990893,0.022355981,0.026061039,0.057958787,0.037962573,0.02820683,0.009349509,0.029407758,0.018791714,0.008151548,0.015212165,0.021418374,0.011867866,0,0.033211047
PWY0-1568: NADH to cytochrome bd oxidase electron transfer II,0.045583362,0.020168121,0.02291403,0.017641908,0.046831696,0.026517555,0.048290652,0.026286585,0.01737123,0.007498488,0.028100081,0.020052732,0.030448915,0.016598877,0.017863917,0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,0.019741717,0.001872098,0.027168693,0.029628194,0.06580235,0.029825237,0.051535654,0.023227294,0.020849862,0.010762301,0.031323224,0.007428729,0.027794964,0.004260593,0.021441211,0.018498585
PWY-4984: urea cycle,0.041802242,0.022601534,0.014898428,0.020025314,0.041887894,0.040846477,0.044649933,0.006641367,0.032440711,0.02163737,0.024483887,0.011470385,0.015746776,0.008210775,0.033360803,0.008958393
PWY-6535: 4-aminobutanoate degradation I,0.026970711,0.018335831,0,0.025230476,0.032482782,0.038981352,0.038399662,0.003897455,0.030479191,0.019796981,0.018275719,0.032894781,0.021272176,0.029150269,0.03134365,0.022068644
VALSYN-PWY: L-valine biosynthesis,0.029672103,0.026060032,0.018813453,0.018117139,0.049139548,0.041474987,0.049564117,0,0.033101705,0.022257545,0.029364968,0,0.003360407,0.013761977,0.034040545,0.02013377
PWY-5189: tetrapyrrole biosynthesis II (from glycine),0.031030838,0.020865098,0.014901535,0.022486607,0.03272243,0.03214851,0.027805347,0.013944496,0.023293209,0.013054762,0.007752768,0.03191088,0.027656153,0.028188637,0.023953857,0.034431321
PWY-5329: L-cysteine degradation III,0.025176112,0.0210232,0.022590112,0.033513521,0.053826888,0.027570102,0.044058976,0.019958853,0.018478175,0.008537075,0.023896911,0.009952034,0.019374776,0.006726789,0.019002258,0.03125852
KDOSYN-PWY: Kdo transfer to lipid IVA I (E. coli),0.034166782,0.016044342,0.017532957,0.00996226,0.068527399,0.037098627,0.029565199,0.017750604,0.028499161,0.017939227,0.009500767,0.020463188,0.023524287,0.017000043,0.029307463,0.007462026
"PWY-1722: formate assimilation into 5,10-methylenetetrahydrofolate",0.040074284,0.02891612,0,0.024665598,0.055757805,0.038768059,0.025364801,0.02618408,0.030254874,0.019586517,0.005328663,0.010982437,0.030527018,0.00773387,0.031112972,0.008998085
TYRSYN: L-tyrosine biosynthesis I,0.022909842,0.028881724,0.025550307,0.016089514,0.060752156,0.02868338,0.050852363,0.015401636,0.01964899,0.009635588,0.030644536,0.01037508,0.01696471,0.00714026,0.02020628,0.019844721
PWY-2301: myo-inositol biosynthesis,0.023416652,0.02956475,0.026439874,0.001901336,0.052851149,0.034366056,0.051500333,0.02054054,0,0.015242897,0.031288141,0.021889169,0,0.018393749,0.026352158,0.028169
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis,0.033567475,0.013453929,0.003997276,0.031060317,0.035995055,0.036754129,0.050341263,0.019639167,0.028136859,0.017599298,0.030136879,0,0.016786311,0.011386124,0.028934885,0.023351724
PYRUVDEHYD-PWY: pyruvate decarboxylation to acetyl CoA I,0.031918924,0.034143718,0.015984839,0,0.055941918,0.037292626,0.053818914,0.005458028,0.028703187,0.018130652,0.033591104,0.010966983,0.016708442,0.007718766,0.029517274,0
PWY-8073: lipid IVA biosynthesis (P. putida),0.045506965,0.003495861,0.023782506,0.001374776,0.034573691,0.03567762,0.04665169,0.028097193,0.027004712,0.016537066,0.026472159,0.014794877,0.0118215,0.011460023,0.027770628,0.024528505
PWY-5148: acyl-CoA hydrolysis,0.015497561,0.018971095,0,0.025903975,0.041196589,0.03624747,0.048513842,0.014742347,0.027604014,0.017099358,0.028321768,0.033647227,0.004692525,0.029885685,0.028386927,0.007718861
PWY-6612: superpathway of tetrahydrofolate biosynthesis,0.044365659,0.036107684,0.009303237,0.011920694,0.037036632,0.030417214,0.038341406,0.028252389,0.021472434,0.011346427,0,0.028761386,0.008614324,0.025110426,0.022081441,0.025042
P184-PWY: protocatechuate degradation I (meta-cleavage pathway),0.021423588,0.017557798,0.003564609,0.018593331,0.036841898,0.030429061,0.03853033,0.031368113,0.021484893,0.011358117,0.018405507,0.032796594,0.022440774,0.029054305,0.022094253,0.021678763
PWY-8058: 2-deoxy-D-ribose degradation II,0.045159906,0.002841516,0.00563853,0.00880235,0.056768798,0.027288299,0.051207367,0.01835405,0.018181808,0.00825901,0.030997149,0.029673115,0.027761344,0.02600152,0.018697486,0.001638425
FAO-PWY: fatty acid &beta;-oxidation I (generic),0.04463824,0.009593385,0.002196929,0.030255397,0.044757436,0.041219788,0.038516427,0.028307902,0,0.02200573,0.018391697,0.013237124,0.01162227,0.009937527,0.033764544,0.026110034
PWY0-1309: chitobiose degradation,0.043593161,0.033692838,0.015951301,0.026219636,0.06834879,0,0.047109725,0.029367832,0.014898638,0.005178589,0.026927109,0.004445352,0.027274979,0.001344739,0.015321197,0.014755105
PWY1-3: polyhydroxybutanoate biosynthesis,0.039830519,0.015851303,0.014412038,0.009295333,0.066524473,0.018821138,0.048241424,0.023099658,0.00927704,0,0.028051185,0.029851042,0.006574245,0.02617542,0.009540158,0.028091468
ETOH-ACETYLCOA-ANA-PWY: ethanol degradation I,0.042059842,0.002335823,0.018337348,0.016015389,0.049818941,0.040188309,0.027669322,0.012188734,0.031748527,0.020987932,0.00761766,0.010963857,0.024187701,0.00771571,0.032648988,0.02889003
NONMEVIPP-PWY: methylerythritol phosphate pathway I,0.019762517,0.032104964,0.013922676,0.018305968,0.042695327,0.027416534,0.041986143,0.006781148,0.01831667,0.008385544,0.021838041,0.031885195,0.018801346,0.028163534,0.018836172,0.023641631
PWY-6622: heptadecane biosynthesis,0.040370227,0,0.022574425,0.007042667,0.057527385,0.023712873,0.048529666,0.02978593,0.014421593,0.004731004,0.028337485,0.016860991,0.020559808,0.013479374,0.014830623,0.029774757
PWY-5084: 2-oxoglutarate decarboxylation to succinyl-CoA,0.019378282,0.020245299,0.011030745,0.020931331,0.040516377,0.035910269,0.050774908,0.003512307,0.027249386,0.016766629,0.030567603,0.0136366,0.014292154,0.010327961,0.02802224,0.027942573
PWY-7909: formaldehyde oxidation VII (THF pathway),0.022385882,0.016174791,0.019531131,0.012384289,0.047567,0.033767532,0.021849397,0.021765965,0.024995906,0.014652311,0.00183694,0.031176464,0.029078609,0.027470844,0.025704847,0.01965908
PWY0-1544: proline to cytochrome bo oxidase electron transfer,0.047720666,0.013102049,0.024038071,0.004456971,0.040373809,0.037990069,0.028679318,0.002197806,0.029436676,0.018818846,0.008620852,0.017904963,0.03081151,0.014499718,0.030271567,0.02094005
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I,0.031349163,0.005214277,0.010297032,0.026430186,0.068506004,0.037361107,0.020354921,0.027610691,0.028775207,0.018198226,0.00035253,0.014574646,0.026319994,0.011244776,0.029591338,0.01366804
PWY-7587: oleate biosynthesis III (cyanobacteria),0.046212914,0.000355908,0.028233842,0.002749895,0.034099008,0.031687367,0.052655673,0.010198936,0.022808232,0.012599735,0.032435699,0,0.028406921,0.018745773,0.023455126,0.024146533
PWY1-2: L-alanine degradation IV,0.044096257,0.023213352,0.015737634,0.000487685,0.044903592,0.0245688,0.035235543,0.02806904,0.015321757,0.005575578,0.015132913,0.030965692,0.03094509,0.027264842,0.015756317,0.011185594
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate),0.032210465,0.029601712,0.028921144,0,0.065712215,0.032004749,0.042169322,0.016530361,0.023142017,0.012912907,0.022019985,0.010379245,0.007488356,0.00714433,0.023798378,0.01375396
PWY-6012-1: acyl carrier protein activation,0.025955929,0.024655409,0.008234118,0.00293839,0.049769373,0.028781917,0.041484378,0.030935679,0.01975262,0.009732818,0.021339655,0.029831444,0.01608267,0.026156265,0.020312849,0.011807162
ASPARAGINESYN-PWY: L-asparagine biosynthesis II,0.02484657,0.018933147,0.020577573,0.01625731,0.036434014,0.041111411,0.030664476,0.015569263,0.032719337,0.02189879,0.010592638,0.004993629,0.006054161,0.04580608,0.033647332,0.007642836
PWY-6700: queuosine biosynthesis I (de novo),0.026268115,0.101832125,0.016215546,0.013304607,0.065882194,0.03233009,0.024041222,0.001738248,0.023484172,0.013233933,0.004014,0.001229762,0.011018404,0,0.024150237,0.008809675
LEUSYN-PWY: L-leucine biosynthesis,0.034249409,0.024336387,0.025565583,0.012878743,0.043122666,0.031497295,0.036355103,0.010577058,0.022608337,0.012412184,0.016244932,0.020123393,0.018548894,0.016667938,0.023249561,0.018997823
PWYQT-4429: CO2 fixation into oxaloacetate (anaplerotic),0.025490864,0.001622282,0.000746382,0.02224593,0.058398651,0.037719174,0.036903735,0.010225086,0.02915178,0.018551544,0.016789869,0.033962167,0.007159694,0.030193497,0.029978591,0.008136977
PWY0-1477: ethanolamine utilization,0.015371273,0.0252695,0.008311764,0.021748913,0.06812533,0.030232786,0.037903371,0.022929041,0.021278474,0.011164445,0.017782771,0.024054061,0.005920296,0.020509643,0.02188198,0.013067065
PWY-6502: 8-oxo-(d)GTP detoxification I,0.030058566,0.00378958,0.010277334,0.018402717,0.038424932,0.039418362,0.043708904,0.031647653,0.030938787,0.020228196,0.023549197,0.000875821,0.011263129,0,0.031816282,0.030621634
